ID,SMILES,pIC50,Set
157,CC(=O)Oc1cc2oc(-c3cccc(F)c3)cc2cc1-c1c[se]nn1,7.301029995663981,Train
158,COc1ccc2c(c1)c(CC(=O)Oc1cccc3ccccc13)c(C)n2C(=O)c1ccc(Cl)cc1,5.301029995663981,Train
159,NS(=O)(=O)c1ccc(-c2[nH]c3ccccc3c2-c2ccc(Br)cc2)cc1,8.077897645626356,Train
160,CC1(C)OC(=O)C(Oc2ncc(Cl)cc2Cl)=C1c1ccc(S(C)(=O)=O)cc1,7.397940008672037,Train
161,Cc1ccccc1Nc1cnccc1NS(C)(=O)=O,4.730487055782084,Train
162,Cc1cccc(-c2nc(C(F)(F)F)cn2-c2ccc(S(N)(=O)=O)cc2)n1,6.378375033651015,Train
163,O=C(O)C1=Cc2cc(C(F)(F)F)ccc2OC1C(F)(F)F,7.387216143280264,Train
164,CC(C)N(C)Cc1cc2c(cc1Cl)C=C(C(=O)O)C(C(F)(F)F)O2,4.0,Train
165,CS(=O)(=O)c1ccc(-c2occ(Cl)c(=O)c2-c2cccc(F)c2)cc1,2.846000001097364,Train
166,O=C1/C(=C/c2ccc(N3CCCC3)cc2)CCC/C1=C\c1ccc(N2CCCC2)cc1,4.265040238727555,Train
167,Cc1ccc(S(=O)(=O)n2cc(C(=O)C(=O)N[C@@H](Cc3cnc[nH]3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)c3ccccc32)cc1,6.267606240177031,Train
168,CCC1CCCCN1C(=O)/C=C/c1c(/C=C/c2ccc(OC)cc2)cc(OC)cc1OC,4.988006885340743,Train
169,CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3,6.251037138743838,Train
170,Cc1ccc(S(=O)(=O)N2N=C(C(F)(F)F)CC2c2cccc3c2OCO3)cc1,4.241390857340257,Train
171,NS(=O)(=O)c1ccc(-c2nc(NCC3CCCCC3)cc(C(F)(F)F)n2)cc1,6.095014118900637,Train
172,COc1c(Cl)cc(-c2cc(C(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1Cl,7.678921132642886,Train
173,Cc1c(NC(=O)C(c2ccc(-c3cncc(C(F)(F)F)c3)c(F)c2)C2CCCC2)cccc1C(C)CC(=O)O,7.732828271596986,Train
174,C/C(=N\NC(N)=O)c1nnn(-c2ccc(Cl)cc2)c1C,6.494850021680094,Train
175,CS(=O)(=O)c1ccc(/C=C(/C(=O)O)c2ccc(O)cc2)cc1,5.275724130399211,Train
176,Cc1cc(C)c2c(=O)n(CN(C)CCNc3ccccc3)sc2n1,2.793004694872959,Train
177,CCOP(=O)(OCC)C(NC(=O)c1cc(-c2ccc(Br)cc2)n(-c2ccc(S(N)(=O)=O)cc2)n1)c1ccccc1,6.552841968657781,Train
178,CN(C)c1ccc(/C=C2\Cc3ccccc3C2=O)c([N+](=O)[O-])c1,4.828273546346769,Train
179,CS(=O)(=O)c1ccc(-n2cnc(Cl)c2-c2ccncc2)cc1,5.0,Train
180,Cc1nnc(/N=C2\NC(=O)/C(=C/c3ccc(F)cc3)S2)s1,7.0,Train
181,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,6.105130343254747,Train
182,CS(=O)(=O)c1ccc(-c2cc(F)c(F)cc2-c2ccc(F)c(Cl)c2)cc1,8.0,Train
183,CS(=O)(=O)c1ccc(-c2nc(O)cc(NCc3ccccc3)n2)cc1,7.30715308072277,Train
184,CS(=O)(=O)c1ccc(N2N=C(C(F)(F)F)CC2c2ccc3c(c2)OCCO3)cc1,6.619788758288394,Train
185,CCCCC(=C(c1ccccc1)c1ccccc1)c1ccccc1,5.102372908709558,Train
186,Cc1ccc(C2=NN(C3=NC(=O)CS3)C(c3ccc(Br)cc3)C2)cc1C,5.7447274948966935,Train
187,Cn1cccc1CCCNc1cc(C(F)(F)F)nc(-c2ccc(S(C)(=O)=O)cc2)n1,4.499998462863552,Train
188,COc1ccc2c(c1)c(CC(=O)N[C@@H](CO)c1ccccc1)c(C)n2C(=O)c1ccc(Cl)cc1,6.356547323513812,Train
189,COc1ccc(Cc2c(C)[nH]c3cc(S(C)(=O)=O)ccc23)cc1,5.930533029871538,Train
190,O=C1CS/C(=N/c2nnc(-c3ccc(O)cc3)s2)N1,6.721246399047171,Train
191,CS(=O)(=O)c1ccc(-c2sc(-c3ccncc3)nc2-c2ccc(F)cc2)cc1,5.795880017344075,Train
192,CCOP(=O)(OCC)C(NC(=O)c1cc(-c2ccsc2)n(-c2ccc(S(N)(=O)=O)cc2)n1)c1ccccc1,6.657577319177793,Train
193,O=C(O)C1=Cc2c(ccc(Cl)c2-c2ccccc2)OC1C(F)(F)F,5.333482019445119,Train
194,Cc1ccc(/C=N/c2ccc(S(N)(=O)=O)cc2)cc1,5.306273051076353,Train
195,NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(Cl)s2)cc1,7.587546764348944,Train
