feature,pubchem_bit,permutation_importance_mean,permutation_importance_std
PubchemFP741,741,2.2204460492503132e-17,6.66133814775094e-17
PubchemFP118,118,2.2204460492503132e-17,6.66133814775094e-17
PubchemFP478,478,2.2204460492503132e-17,6.66133814775094e-17
PubchemFP332,332,0.0,0.0
PubchemFP248,248,0.0,0.0
PubchemFP768,768,0.0,0.0
PubchemFP861,861,-7.934178447577267e-09,1.3307614224839932e-06
PubchemFP648,648,-4.2762405361163046e-08,1.2828721608348916e-07
PubchemFP587,587,-5.170866071879665e-07,5.978733960283317e-17
PubchemFP66,66,-6.487599922833098e-07,6.00003123111629e-08
PubchemFP490,490,-9.977764825697123e-07,5.990925991114561e-07
PubchemFP160,160,-1.0006997715583666e-06,2.371597515975521e-06
PubchemFP754,754,-1.1199279866036526e-06,5.629350506371663e-07
PubchemFP446,446,-1.7280340147696194e-06,3.719392417900091e-06
PubchemFP634,634,-2.0397018083539996e-06,1.8341681454393593e-06
PubchemFP562,562,-2.200712754807377e-06,6.6021382645701605e-06
PubchemFP524,524,-2.9102927896262897e-06,1.8604432538907857e-06
PubchemFP687,687,-3.273292644223602e-06,3.532545402862297e-08
PubchemFP765,765,-3.4566889103970764e-06,2.048093844109932e-06
PubchemFP541,541,-5.437203935643176e-06,6.843375298975375e-05
PubchemFP409,409,-8.271242756296982e-06,7.152374595188467e-05
