feature,pubchem_bit,mean_abs_SHAP,permutation_importance_mean,permutation_importance_std,definition
PubchemFP620,620,0.0034721901051954986,-0.001982344017436033,0.0017156891303238718,C:C-O-C-C
PubchemFP3,3,0.003443390821208252,-0.00015297474994605543,0.0005368832923830653,>= 32 H
PubchemFP550,550,0.003392986326436431,-5.2735118504287914e-05,0.0003599650834262237,Cl-C-C-C
PubchemFP436,436,0.003382712356679522,0.0006449560052292247,0.0014717380224679025,C(-C)(-H)(=O)
PubchemFP342,342,0.0033747857672562637,0.000288269170174138,0.00033622830630245377,C(~C)(~Cl)
PubchemFP445,445,0.0033366250430107323,-1.7685544968959466e-05,0.0003528274738843166,C(-H)(-N)(=C)
PubchemFP698,698,0.00329812413810235,0.002868863717092196,0.0018306668295795924,O-C-C-C-C-C-C-C
PubchemFP431,431,0.003286548289035877,-0.0012555172408410086,0.0009946867294903748,C(-C)(-C)(=N)
PubchemFP518,518,0.0032741198696461305,-8.573640314273323e-05,0.0003414521440635238,O=C-N-N
PubchemFP672,672,0.0032263802635488815,0.000118977894132688,0.00036378469895533895,O=C-C=C-[#1]
PubchemFP12,12,0.003210820695758649,0.00019971967795300304,0.0009991008607629847,>= 16 C
PubchemFP389,389,0.0031937105535023457,0.0008951241084452111,0.0001219970461908497,C(:N)(:N)
PubchemFP821,821,0.003191790993478292,-0.00021208421448749571,0.0007836174092223287,CC1C(N)CCCC1
PubchemFP536,536,0.0031744559885640727,0.000678806736535853,0.0007545777071614865,O=C-C-N
PubchemFP631,631,0.003125552037359472,0.0009649969588894303,0.0002018289964394952,O-C:C-O-[#1]
PubchemFP636,636,0.0031248056188312567,0.0012056810726317146,0.0005792906708380123,C-N-C-N-C
PubchemFP645,645,0.003088065922655985,0.00025691171069917027,0.0001423481467420245,O=C-N-C-C
PubchemFP421,421,0.0030338889978476866,0.0012168533664405957,0.000458535982098991,C=S
PubchemFP362,362,0.0030319647904762663,0.0005212175232288229,0.0002586536132663147,C(~Cl)(:C)
PubchemFP199,199,0.003011978930274239,3.363218852238114e-05,0.0003191451282300393,>= 4 any ring size 6
PubchemFP655,655,0.0029976481779778563,-0.00021953727169858882,0.00033531621937921754,O-C-C-C:C
PubchemFP19,19,0.002946238054168575,-2.609113231741844e-05,0.0009952567746706652,>= 2 O
PubchemFP465,465,0.002939639858060711,0.0005161187680808755,0.0005296013439208705,O=S-C-C
PubchemFP759,759,0.002833719874993796,-0.0005915654485034727,0.0012598731623085094,Cc1c(Cl)cccc1
PubchemFP619,619,0.0028169408480805845,-0.00051721910633854,0.00028483790197271415,O-C-C=C-C
PubchemFP148,148,0.0028090606126621944,0.0006592290262119272,0.000606716943765119,>= 1 unsaturated non-aromatic nitrogen-containing ring size 5
PubchemFP30,30,0.0028068585485256712,5.3313452460357344e-05,3.1111176734110075e-05,>= 1 P
PubchemFP713,713,0.0027452835986057677,-0.003517416539241258,0.0006325482525811926,Cc1ccc(C)cc1
PubchemFP388,388,0.002743600837121448,-0.00028383487780995196,0.0002779404706464601,C(:C)(:N)(:N)
PubchemFP684,684,0.002737614084540065,3.476266445262555e-05,0.00021555780300758256,O=C-C-C-C-C
PubchemFP38,38,0.002686067110128325,0.0017337355510366637,0.0009388859932241203,>= 2 Cl
PubchemFP406,406,0.0026665057678180097,0.0006628293440809286,0.0010986055372881462,O(~C)(~H)
PubchemFP611,611,0.002651597015256109,-2.644252536301295e-05,0.00014782163175615067,N-C-C-N-C
PubchemFP671,671,0.0026455183819992885,0.00024501856914903585,0.0005208740297025235,O=C-C=C-C
PubchemFP545,545,0.002628576442939347,5.343717490156052e-05,0.00020761060778161058,N-C:C-C
PubchemFP591,591,0.0026036580566830103,-0.0005589670624153942,0.000539099162704032,Cl-C-C-C-C
PubchemFP25,25,0.0025922364884327018,0.00307243220356751,0.00043513538563378593,>= 4 F
PubchemFP579,579,0.0025555407299110893,-0.00037916486537228347,0.0005874710733997114,O=C-C-C-C
PubchemFP725,725,0.002533299841489527,0.0021611149091349978,0.0006598676686484872,Sc1ccc(N)cc1
PubchemFP590,590,0.0025301458055066333,0.0007896867688041209,0.0005783478142304645,C-C:C-O-[#1]
PubchemFP341,341,0.002524616941825517,-0.0005950112813336905,0.0005147376141841497,C(~C)(~C)(~O)
PubchemFP533,533,0.002466281469818885,0.0019484904445725038,0.0009313410313345495,S-C:C-N
PubchemFP542,542,0.0024226828793792836,-0.0021479774597797487,0.0017613514616388768,O-C:C-[#1]
PubchemFP372,372,0.0024210791127777013,-0.0005230215268953176,0.0004993468196090135,C(~H)(:C)(:N)
PubchemFP737,737,0.002403333253651092,0.00019469712249396974,0.0006074600253755977,Cc1cc(N)ccc1
PubchemFP797,797,0.0024004290721338544,-0.0010994980107474684,0.0014463541592958393,CC1CC(C)CCC1
PubchemFP258,258,0.002400324031022197,0.00017767187842074872,0.0004868326813095915,>= 2 hetero-aromatic rings
PubchemFP592,592,0.0023406300319677342,0.0024674393991367394,0.0012991947626321144,N-C-C-C-C
PubchemFP692,692,0.0023098545706023432,-0.0003463485747635997,0.00034847911589119834,O=C-C-C-C-C-C
PubchemFP659,659,0.0022535359916855927,0.0002985357662078192,0.0005118343381655028,O-C-C-N-C
PubchemFP149,149,0.002187881746747032,0.0002583443061907609,0.0007548538449080533,>= 1 unsaturated non-aromatic heteroatom-containing ring size 5
PubchemFP663,663,0.00218636014524668,0.002696360134530029,0.0006465512970819041,O-C-C-O-[#1]
PubchemFP375,375,0.002150642642136328,0.0008170247562075738,0.00015321311267904152,C(~N)(~N)
