feature,pubchem_bit,mean_abs_SHAP
PubchemFP663,663,0.00218636014524668
PubchemFP375,375,0.002150642642136328
PubchemFP438,438,0.0021024135717095816
PubchemFP513,513,0.002067905977219963
PubchemFP710,710,0.002062942354642088
PubchemFP777,777,0.0020411606686335368
PubchemFP597,597,0.002037832210830767
PubchemFP641,641,0.002031715845360953
PubchemFP43,43,0.0020044537443649887
PubchemFP528,528,0.0019444602725658244
PubchemFP716,716,0.001941535970627805
PubchemFP707,707,0.0019161482135198525
PubchemFP714,714,0.0019057649583165172
PubchemFP532,532,0.0018978081945345187
PubchemFP330,330,0.0018640146483509443
PubchemFP554,554,0.001833934611185456
PubchemFP34,34,0.0018058327034817102
PubchemFP129,129,0.001798307822236136
PubchemFP339,339,0.0017951332430849462
PubchemFP615,615,0.0017906805055248381
PubchemFP721,721,0.0017707613782104955
PubchemFP675,675,0.001755466827221525
PubchemFP755,755,0.0017481167123307515
PubchemFP691,691,0.0017439552795980573
PubchemFP152,152,0.0017259374964334743
PubchemFP405,405,0.001720681083973593
PubchemFP658,658,0.0017190845139639765
PubchemFP327,327,0.0017180405663591097
PubchemFP519,519,0.001698366180565551
PubchemFP674,674,0.0016556071746525677
PubchemFP637,637,0.0016519708384689221
PubchemFP451,451,0.0016490213865861959
PubchemFP818,818,0.0016213156279080076
PubchemFP566,566,0.0016175783020087613
PubchemFP442,442,0.0016169285646600753
PubchemFP440,440,0.0016152125964352681
PubchemFP419,419,0.0016130223063579676
PubchemFP479,479,0.0016094673492977958
PubchemFP461,461,0.001586360212582356
PubchemFP548,548,0.0015727653244792346
PubchemFP573,573,0.001567167112781665
PubchemFP662,662,0.001561920756045215
PubchemFP286,286,0.0015530697956247523
PubchemFP379,379,0.00152212431762616
PubchemFP188,188,0.0015058655761134416
PubchemFP285,285,0.0015023773892599642
PubchemFP729,729,0.0014965053893292181
PubchemFP762,762,0.001496474682408712
PubchemFP555,555,0.0014822689230410903
PubchemFP639,639,0.0014714532905775021
PubchemFP439,439,0.0014584922935538661
PubchemFP534,534,0.0014431098722826022
PubchemFP569,569,0.0014402701991666758
PubchemFP380,380,0.0014245033054175631
PubchemFP376,376,0.0013997505372339363
PubchemFP417,417,0.0013694777598673284
PubchemFP654,654,0.0013683849803181713
PubchemFP358,358,0.0013664856642360305
PubchemFP580,580,0.001363144164841626
PubchemFP686,686,0.0013572544237519407
PubchemFP607,607,0.001349639651443641
PubchemFP352,352,0.001326444040197337
PubchemFP491,491,0.0013126834159731897
PubchemFP756,756,0.0013067565968030513
PubchemFP449,449,0.0013036537380486351
PubchemFP514,514,0.0013011662423939579
PubchemFP703,703,0.0012786157696832773
PubchemFP328,328,0.0012749113147599912
PubchemFP839,839,0.0012736705305691652
PubchemFP538,538,0.0012710882809032504
PubchemFP301,301,0.001266605570562885
PubchemFP517,517,0.0012632245578229522
PubchemFP676,676,0.0012600070524147844
PubchemFP568,568,0.0012582881967558488
PubchemFP460,460,0.0012524913594887561
PubchemFP567,567,0.001249683178778558
PubchemFP711,711,0.0012394800081024135
PubchemFP373,373,0.0012318716096371318
PubchemFP334,334,0.0012296031038651705
PubchemFP473,473,0.0012259671077792075
PubchemFP800,800,0.001212413047003685
PubchemFP46,46,0.0012112174854961876
PubchemFP492,492,0.0012018191323510611
PubchemFP504,504,0.001199386526996532
PubchemFP819,819,0.0011981149538193231
PubchemFP596,596,0.0011886521585985255
PubchemFP187,187,0.0011867805404616172
PubchemFP359,359,0.001186108685978867
PubchemFP502,502,0.0011734569008585562
PubchemFP466,466,0.0011722710871157358
